write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.5000,16.0000,32.0000,1321.0033,1368.3536,924.0000,935.0000,168508730.0000
0.5000,16.0000,64.0000,1328.7302,1374.3114,928.5000,934.0000,169438452.0000
0.5000,16.0000,128.0000,1337.2598,1378.3982,941.0000,947.0000,170176756.0000
0.5000,16.0000,256.0000,1359.5965,1407.4954,953.0000,968.0000,173455680.0000
0.5000,16.0000,512.0000,1389.6142,1444.2019,961.0000,974.5000,177625560.0000
0.5000,16.0000,1024.0000,1441.9345,1509.9993,1006.5000,1022.0000,184938012.0000
0.5000,16.0000,2048.0000,1556.8870,1648.2493,1072.0000,1090.5000,200761417.0000
0.5000,16.0000,4096.0000,1662.0800,1796.6374,1140.0000,1167.0000,216628746.0000
