write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.5000,16.0000,32.0000,1270.8129,1354.8695,875.0000,902.0000,164569443.0000
0.5000,16.0000,64.0000,1293.8948,1379.7519,892.0000,920.0000,167518084.0000
0.5000,16.0000,128.0000,1284.4711,1364.4712,889.0000,920.5000,165996632.0000
0.5000,16.0000,256.0000,1304.0903,1391.1121,902.0000,937.0000,168903877.0000
0.5000,16.0000,512.0000,1301.3708,1390.5526,905.0000,938.5000,168679149.0000
0.5000,16.0000,1024.0000,1379.7530,1492.0276,951.0000,991.0000,179923807.0000
0.5000,16.0000,2048.0000,1461.9964,1592.9519,1000.0000,1037.5000,191407958.0000
0.5000,16.0000,4096.0000,1569.2274,1745.5800,1084.0000,1125.0000,207692071.0000
