write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.5000,16.0000,32.0000,1337.6990,1389.0589,930.0000,942.0000,170861534.0000
0.5000,16.0000,64.0000,1331.1236,1383.8091,933.0000,944.0000,170108343.0000
0.5000,16.0000,128.0000,1351.0510,1405.8264,950.0000,965.0000,172804692.0000
0.5000,16.0000,256.0000,1360.5433,1414.4403,956.0000,972.0000,173916623.0000
0.5000,16.0000,512.0000,1396.1096,1459.8823,971.5000,992.0000,178986144.0000
0.5000,16.0000,1024.0000,1467.1827,1543.8560,1019.0000,1033.0000,188698012.0000
0.5000,16.0000,2048.0000,1569.9473,1674.8807,1092.0000,1115.0000,203333274.0000
0.5000,16.0000,4096.0000,1684.3656,1835.7119,1151.0000,1181.0000,220549773.0000
