write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.5000,16.0000,32.0000,1313.7470,904.8116,918.0000,547.0000,139210029.0000
0.5000,16.0000,64.0000,1318.2668,909.7729,914.5000,552.0000,139750247.0000
0.5000,16.0000,128.0000,1323.1910,913.8394,927.5000,560.0000,140287253.0000
0.5000,16.0000,256.0000,1336.9743,927.7367,938.0000,566.5000,142041105.0000
0.5000,16.0000,512.0000,1349.1183,932.7549,941.0000,572.0000,143153332.0000
0.5000,16.0000,1024.0000,1405.9164,958.1876,983.0000,602.0000,148302177.0000
0.5000,16.0000,2048.0000,1508.3956,1014.8500,1040.0000,638.0000,158344364.0000
0.5000,16.0000,4096.0000,1616.1310,1081.1524,1102.0000,676.0000,169063697.0000
