write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.5000,16.0000,32.0000,863.8535,972.4866,490.0000,524.0000,115276296.0000
0.5000,16.0000,64.0000,858.1848,944.3118,496.0000,537.0000,113050118.0000
0.5000,16.0000,128.0000,850.0973,930.5657,502.0000,543.0000,111713111.0000
0.5000,16.0000,256.0000,858.4648,944.6400,509.0000,552.0000,113131258.0000
0.5000,16.0000,512.0000,859.5522,942.9261,501.0000,548.0000,113092495.0000
0.5000,16.0000,1024.0000,869.2690,969.4953,517.0000,574.5000,115376755.0000
0.5000,16.0000,2048.0000,907.6162,1032.6588,541.0000,620.0000,121732736.0000
0.5000,16.0000,4096.0000,954.6543,1109.1097,573.5000,670.5000,129515378.0000
