write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.3000,16.0000,128.0000,945.2754,0.5323,598.5000,0.0000,96410.0000
0.3000,16.0000,256.0000,989.5090,0.6235,609.5000,0.0000,100912.0000
0.3000,16.0000,512.0000,967.4716,0.5842,611.0000,0.0000,98553.0000
0.3000,16.0000,1024.0000,978.1256,0.6112,614.5000,0.0000,99418.0000
0.3000,16.0000,2048.0000,1008.1639,0.6675,620.0000,0.0000,102874.0000
0.3000,16.0000,4096.0000,1035.2521,0.7073,639.0000,0.0000,105947.0000
0.3000,32.0000,32.0000,941.4051,0.5421,601.5000,0.0000,96141.0000
0.3000,32.0000,64.0000,960.3762,0.5687,604.0000,0.0000,97981.0000
0.3000,32.0000,128.0000,953.1300,0.5315,596.0000,0.0000,97015.0000
0.3000,32.0000,256.0000,944.7796,0.5420,604.0000,0.0000,96360.0000
0.3000,32.0000,512.0000,971.3113,0.5884,605.0000,0.0000,98901.0000
0.3000,32.0000,1024.0000,963.7557,0.5822,607.0000,0.0000,98178.0000
0.3000,32.0000,2048.0000,971.7919,0.6340,614.5000,0.0000,99421.0000
0.3000,32.0000,4096.0000,1035.1845,0.7107,641.0000,0.0000,105877.0000
0.5000,2.0000,32.0000,971.7703,0.5146,593.0000,0.0000,98370.0000
0.5000,2.0000,64.0000,965.1503,0.5140,588.0000,0.0000,97624.0000
0.5000,2.0000,128.0000,979.9601,0.5553,597.5000,0.0000,99552.0000
0.5000,2.0000,256.0000,985.1303,0.5467,596.5000,0.0000,99645.0000
0.5000,2.0000,512.0000,982.1513,0.5600,603.5000,0.0000,99611.0000
0.5000,2.0000,1024.0000,1001.3933,0.5912,603.0000,0.0000,101504.0000
0.5000,2.0000,2048.0000,1038.6991,0.6664,623.5000,0.0000,106088.0000
0.5000,2.0000,4096.0000,1056.1949,0.6950,638.0000,0.0000,107562.0000
0.5000,4.0000,32.0000,951.6162,0.4882,601.5000,0.0000,96949.0000
0.5000,4.0000,64.0000,959.4333,0.4837,600.0000,0.0000,97605.0000
0.5000,4.0000,128.0000,948.4981,0.4696,593.5000,0.0000,96380.0000
0.5000,4.0000,256.0000,963.4935,0.5183,603.0000,0.0000,97684.0000
0.5000,4.0000,512.0000,963.7442,0.4836,597.5000,0.0000,97708.0000
0.5000,4.0000,1024.0000,952.9523,0.4622,606.5000,0.0000,96539.0000
0.5000,4.0000,2048.0000,969.1069,0.5490,614.0000,0.0000,98556.0000
0.5000,4.0000,4096.0000,1030.6696,0.6627,635.5000,0.0000,104531.0000
0.5000,8.0000,32.0000,929.7606,0.3753,596.5000,0.0000,94421.0000
0.5000,8.0000,64.0000,928.8367,0.3849,598.0000,0.0000,94327.0000
0.5000,8.0000,128.0000,947.1732,0.4363,599.0000,0.0000,96127.0000
0.5000,8.0000,256.0000,941.6217,0.4208,597.0000,0.0000,95568.0000
0.5000,8.0000,512.0000,939.0000,0.4138,596.0000,0.0000,95119.0000
0.5000,8.0000,1024.0000,991.1764,0.5609,604.0000,0.0000,100679.0000
0.5000,8.0000,2048.0000,1033.1950,0.6449,614.5000,0.0000,104770.0000
0.5000,8.0000,4096.0000,1061.8370,0.6852,635.0000,0.0000,107443.0000
0.5000,16.0000,32.0000,941.6887,0.4190,591.5000,0.0000,95755.0000
0.5000,16.0000,64.0000,936.2549,0.4022,596.0000,0.0000,94964.0000
0.5000,16.0000,128.0000,942.4453,0.4105,597.0000,0.0000,95288.0000
0.5000,16.0000,256.0000,954.5072,0.4856,603.0000,0.0000,97024.0000
0.5000,16.0000,512.0000,957.8487,0.4614,599.5000,0.0000,96874.0000
0.5000,16.0000,1024.0000,947.3421,0.4314,601.5000,0.0000,95918.0000
0.5000,16.0000,2048.0000,961.5395,0.5168,614.0000,0.0000,97492.0000
0.5000,16.0000,4096.0000,1032.6114,0.6531,640.0000,0.0000,104509.0000
0.5000,32.0000,32.0000,917.3443,0.3315,592.0000,0.0000,93205.0000
0.5000,32.0000,64.0000,921.5371,0.3303,590.0000,0.0000,93251.0000
0.5000,32.0000,128.0000,960.5192,0.4681,602.0000,0.0000,97044.0000
0.5000,32.0000,256.0000,965.1129,0.5203,607.5000,0.0000,98004.0000
0.5000,32.0000,512.0000,953.1003,0.4638,604.0000,0.0000,96425.0000
0.5000,32.0000,1024.0000,983.0297,0.5417,616.0000,0.0000,99570.0000
0.5000,32.0000,2048.0000,1002.5775,0.6286,626.5000,0.0000,101989.0000
0.5000,32.0000,4096.0000,1030.8943,0.6681,645.5000,0.0000,104341.0000
0.7000,2.0000,32.0000,999.5569,0.5328,603.5000,0.0000,100451.0000
0.7000,2.0000,64.0000,1010.3918,0.5528,611.5000,0.0000,101584.0000
0.7000,2.0000,128.0000,997.7369,0.5225,604.0000,0.0000,99957.0000
0.7000,2.0000,256.0000,1003.6808,0.5467,601.0000,0.0000,100937.0000
0.7000,2.0000,512.0000,1008.7644,0.5299,607.0000,0.0000,100494.0000
0.7000,2.0000,1024.0000,1011.2261,0.5458,606.0000,0.0000,100838.0000
0.7000,2.0000,2048.0000,1033.4321,0.6212,620.5000,0.0000,104291.0000
0.7000,2.0000,4096.0000,1079.3144,0.6679,648.0000,0.0000,107832.0000
0.7000,4.0000,32.0000,944.4126,0.3514,596.0000,0.0000,94692.0000
0.7000,4.0000,64.0000,940.4795,0.3478,602.0000,0.0000,94456.0000
0.7000,4.0000,128.0000,949.9811,0.3693,603.5000,0.0000,95269.0000
0.7000,4.0000,256.0000,943.4797,0.3455,599.5000,0.0000,94381.0000
0.7000,4.0000,512.0000,948.8404,0.3893,608.0000,0.0000,95517.0000
0.7000,4.0000,1024.0000,996.1468,0.5077,620.0000,0.0000,99450.0000
0.7000,4.0000,2048.0000,997.5963,0.5327,621.5000,0.0000,99685.0000
0.7000,4.0000,4096.0000,1039.9188,0.6484,650.5000,0.0000,104163.0000
0.7000,8.0000,32.0000,956.8409,0.3980,598.0000,0.0000,96047.0000
0.7000,8.0000,64.0000,944.3889,0.3479,601.0000,0.0000,94558.0000
0.7000,8.0000,128.0000,950.2638,0.3691,599.0000,0.0000,94971.0000
0.7000,8.0000,256.0000,971.2953,0.4370,607.0000,0.0000,96688.0000
0.7000,8.0000,512.0000,970.1276,0.4624,608.0000,0.0000,97559.0000
0.7000,8.0000,1024.0000,967.2767,0.4342,610.5000,0.0000,96746.0000
0.7000,8.0000,2048.0000,1006.0606,0.5635,619.0000,0.0000,101029.0000
0.7000,8.0000,4096.0000,1043.0464,0.6545,652.5000,0.0000,104808.0000
0.7000,16.0000,32.0000,954.2180,0.3974,606.0000,0.0000,95612.0000
0.7000,16.0000,64.0000,968.7951,0.4329,611.5000,0.0000,97105.0000
0.7000,16.0000,128.0000,958.0437,0.3691,598.0000,0.0000,95366.0000
0.7000,16.0000,256.0000,953.7715,0.4000,608.0000,0.0000,95864.0000
0.7000,16.0000,512.0000,972.3370,0.4400,608.0000,0.0000,97366.0000
0.7000,16.0000,1024.0000,979.0265,0.4469,610.0000,0.0000,97705.0000
0.7000,16.0000,2048.0000,992.8429,0.5346,621.5000,0.0000,99833.0000
0.7000,16.0000,4096.0000,1018.6737,0.5976,638.5000,0.0000,101811.0000
0.7000,32.0000,32.0000,958.9963,0.4212,602.5000,0.0000,96635.0000
0.7000,32.0000,64.0000,949.2019,0.3825,599.5000,0.0000,95435.0000
0.7000,32.0000,128.0000,938.9887,0.3072,596.0000,0.0000,93660.0000
0.7000,32.0000,256.0000,967.9664,0.4236,606.5000,0.0000,96759.0000
0.7000,32.0000,512.0000,990.2784,0.5031,613.0000,0.0000,98991.0000
0.7000,32.0000,1024.0000,983.5604,0.4846,618.0000,0.0000,98409.0000
0.7000,32.0000,2048.0000,1004.8337,0.5503,620.0000,0.0000,100651.0000
0.7000,32.0000,4096.0000,1047.6196,0.6479,647.5000,0.0000,104603.0000
0.9000,2.0000,32.0000,999.3250,0.4425,604.0000,0.0000,97076.0000
0.9000,2.0000,64.0000,1021.0876,0.5024,619.0000,0.0000,99128.0000
0.9000,2.0000,128.0000,1023.9838,0.4820,618.5000,0.0000,98946.0000
0.9000,2.0000,256.0000,1042.4590,0.5289,633.0000,0.0000,100239.0000
0.9000,2.0000,512.0000,1070.7636,0.5580,642.5000,0.0000,101883.0000
0.9000,2.0000,1024.0000,1063.4008,0.5478,637.0000,0.0000,101990.0000
0.9000,2.0000,2048.0000,1111.9426,0.6406,656.0000,0.0000,105486.0000
0.9000,2.0000,4096.0000,1190.9922,0.6940,696.0000,0.0000,110789.0000
0.9000,4.0000,32.0000,1003.7589,0.4243,621.5000,0.0000,96955.0000
0.9000,4.0000,64.0000,1002.6773,0.3850,623.0000,0.0000,95946.0000
0.9000,4.0000,128.0000,996.5857,0.3854,624.5000,0.0000,95987.0000
0.9000,4.0000,256.0000,998.4358,0.4005,630.5000,0.0000,96438.0000
0.9000,4.0000,512.0000,1008.6168,0.3970,638.0000,0.0000,96554.0000
0.9000,4.0000,1024.0000,1024.0845,0.4426,645.5000,0.0000,97792.0000
0.9000,4.0000,2048.0000,1066.8016,0.5693,650.5000,0.0000,102134.0000
0.9000,4.0000,4096.0000,1104.0792,0.6369,671.0000,0.0000,104936.0000
0.9000,8.0000,32.0000,983.8248,0.3666,621.0000,0.0000,95442.0000
0.9000,8.0000,64.0000,999.4295,0.4225,624.5000,0.0000,97262.0000
0.9000,8.0000,128.0000,1005.0203,0.3782,630.5000,0.0000,96116.0000
0.9000,8.0000,256.0000,996.7379,0.3963,638.0000,0.0000,96171.0000
0.9000,8.0000,512.0000,1011.8399,0.4167,618.5000,0.0000,96975.0000
0.9000,8.0000,1024.0000,1027.5546,0.4289,635.0000,0.0000,98116.0000
0.9000,8.0000,2048.0000,1018.8107,0.4579,643.0000,0.0000,98420.0000
0.9000,8.0000,4096.0000,1093.5696,0.5891,672.0000,0.0000,102817.0000
0.9000,16.0000,32.0000,977.6857,0.3227,617.0000,0.0000,95007.0000
0.9000,16.0000,64.0000,955.1665,0.2464,610.0000,0.0000,92480.0000
0.9000,16.0000,128.0000,988.1335,0.3620,624.5000,0.0000,95618.0000
0.9000,16.0000,256.0000,1018.5559,0.4496,641.5000,0.0000,97797.0000
0.9000,16.0000,512.0000,1044.9799,0.5247,645.5000,0.0000,100472.0000
0.9000,16.0000,1024.0000,1046.6308,0.4904,656.0000,0.0000,99184.0000
0.9000,16.0000,2048.0000,1065.0233,0.5484,660.0000,0.0000,101082.0000
0.9000,16.0000,4096.0000,1113.7689,0.6440,687.5000,0.0000,105224.0000
0.9000,32.0000,32.0000,993.0832,0.4109,619.0000,0.0000,96628.0000
0.9000,32.0000,64.0000,1013.7269,0.4341,644.5000,0.0000,97328.0000
0.9000,32.0000,128.0000,1005.2380,0.4395,637.0000,0.0000,97472.0000
0.9000,32.0000,256.0000,1010.0247,0.4619,640.0000,0.0000,97672.0000
0.9000,32.0000,512.0000,1060.1117,0.5329,646.0000,0.0000,100915.0000
0.9000,32.0000,1024.0000,1051.6371,0.5318,668.0000,0.0000,100483.0000
0.9000,32.0000,2048.0000,1067.1341,0.5766,662.5000,0.0000,101593.0000
0.9000,32.0000,4096.0000,1124.2090,0.6645,691.5000,0.0000,106941.0000
