write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.3000,8.0000,1024.0000,1579.7429,1134.0315,1249.5000,882.5000,14521910.0000
0.3000,8.0000,2048.0000,1553.0665,1153.2920,1245.5000,900.0000,14432363.0000
0.3000,8.0000,4096.0000,1627.6855,1188.1380,1309.0000,904.0000,15020910.0000
0.3000,16.0000,32.0000,1513.9304,1106.9680,1179.5000,877.5000,14004388.0000
0.3000,16.0000,64.0000,1595.9997,1169.7670,1204.5000,888.0000,14790501.0000
0.3000,16.0000,128.0000,1519.0478,1132.8333,1194.0000,896.5000,14123001.0000
0.3000,16.0000,256.0000,1552.3862,1136.5682,1222.0000,871.5000,14343226.0000
0.3000,16.0000,512.0000,1617.6001,1213.0107,1267.0000,911.5000,15052744.0000
0.3000,16.0000,1024.0000,1539.7264,1132.7368,1241.5000,894.5000,14225197.0000
0.3000,16.0000,2048.0000,1625.7692,1205.5966,1267.5000,926.5000,15090884.0000
0.3000,16.0000,4096.0000,1629.9788,1204.2421,1283.0000,943.5000,15143329.0000
0.3000,32.0000,32.0000,1516.9250,1112.5533,1213.0000,886.0000,14021870.0000
0.3000,32.0000,64.0000,1510.3732,1121.7372,1209.5000,883.5000,14010874.0000
0.3000,32.0000,128.0000,1502.1468,1102.0527,1214.5000,837.0000,13894172.0000
0.3000,32.0000,256.0000,1598.4126,1180.8498,1222.5000,877.5000,14823609.0000
0.3000,32.0000,512.0000,1565.1617,1163.7568,1196.5000,883.5000,14510269.0000
0.3000,32.0000,1024.0000,1538.4710,1133.6351,1245.0000,915.0000,14265043.0000
0.3000,32.0000,2048.0000,1565.0528,1156.9384,1240.5000,918.0000,14494708.0000
0.3000,32.0000,4096.0000,1611.2081,1189.8409,1283.0000,925.5000,14916762.0000
0.5000,2.0000,32.0000,1472.2900,1073.3395,1179.5000,855.5000,12809912.0000
0.5000,2.0000,64.0000,1499.2702,1088.2167,1173.0000,858.5000,13017473.0000
0.5000,2.0000,128.0000,1642.0142,1160.1846,1252.0000,890.0000,14102621.0000
0.5000,2.0000,256.0000,1550.8896,1120.1707,1241.5000,868.0000,13464995.0000
0.5000,2.0000,512.0000,1552.2505,1124.3122,1267.5000,898.5000,13515450.0000
0.5000,2.0000,1024.0000,1554.6744,1115.9906,1228.0000,866.0000,13448918.0000
0.5000,2.0000,2048.0000,1616.8739,1169.0044,1252.5000,899.5000,14030177.0000
0.5000,2.0000,4096.0000,1710.5927,1229.4915,1273.5000,911.5000,14817820.0000
0.5000,4.0000,32.0000,1494.7647,1076.8426,1182.5000,854.5000,12931056.0000
0.5000,4.0000,64.0000,1545.4622,1128.7793,1204.0000,863.5000,13435531.0000
0.5000,4.0000,128.0000,1630.6020,1192.5471,1246.5000,914.5000,14201581.0000
0.5000,4.0000,256.0000,1571.0124,1132.6744,1223.0000,885.0000,13605072.0000
0.5000,4.0000,512.0000,1629.8048,1188.3046,1234.0000,913.5000,14183703.0000
0.5000,4.0000,1024.0000,1579.7423,1132.6632,1264.0000,877.5000,13637372.0000
0.5000,4.0000,2048.0000,1557.9147,1127.9026,1239.0000,895.0000,13534476.0000
0.5000,4.0000,4096.0000,1616.5996,1173.7753,1279.5000,920.0000,14099312.0000
0.5000,8.0000,32.0000,1477.7265,1080.2254,1183.5000,855.0000,12871456.0000
0.5000,8.0000,64.0000,1532.4961,1107.6956,1213.0000,860.0000,13261584.0000
0.5000,8.0000,128.0000,1580.4561,1140.9451,1212.5000,862.5000,13690636.0000
0.5000,8.0000,256.0000,1501.0793,1085.8318,1204.5000,869.5000,12996262.0000
0.5000,8.0000,512.0000,1525.9137,1107.9432,1221.0000,873.0000,13236876.0000
0.5000,8.0000,1024.0000,1547.7943,1127.9524,1239.0000,879.5000,13434122.0000
0.5000,8.0000,2048.0000,1566.4865,1143.4465,1256.5000,915.0000,13641560.0000
0.5000,8.0000,4096.0000,1620.2290,1177.2888,1294.5000,912.5000,14083906.0000
0.5000,16.0000,32.0000,1453.2097,1051.9608,1171.0000,837.5000,12555663.0000
0.5000,16.0000,64.0000,1602.1925,1136.9092,1212.5000,872.0000,13797769.0000
0.5000,16.0000,128.0000,1540.2741,1094.3007,1216.5000,875.5000,13288952.0000
0.5000,16.0000,256.0000,1550.8618,1115.7329,1214.5000,870.5000,13411289.0000
0.5000,16.0000,512.0000,1562.7156,1134.2882,1221.5000,899.0000,13577746.0000
0.5000,16.0000,1024.0000,1603.9749,1156.6818,1248.5000,876.0000,13926004.0000
